Gene.ID	Gene.Name	HGNC	EntrezGene	RefSeq	transcript_id
ENSG00000133884.9	DPF2	DPF2	5977	NM_001330308.1;NA;NM_006268.4	ENST00000252268.8;ENST00000415073.6;ENST00000528416.5;ENST00000531989.1
ENSG00000133895.14	MEN1	MEN1	4221	NM_000244.3;NA;NM_130803.2;NM_130800.2;NM_130802.2;NM_130804.2	ENST00000312049.10;ENST00000315422.8;ENST00000337652.5;ENST00000377313.5;ENST00000377316.6;ENST00000377321.5;ENST00000377326.7;ENST00000394374.6;ENST00000394376.5;ENST00000413626.1;ENST00000424912.1;ENST00000429702.5;ENST00000440873.5;ENST00000450708.5
ENSG00000133935.6	ERG28	ERG28	11161	NM_007176.3	ENST00000256319.6
ENSG00000133937.4	GSC	GSC	145258	NM_173849.2	ENST00000238558.4
ENSG00000133943.20	C14orf159	C14orf159	80017	NM_001102368.2;NA;NM_024952.7;NM_001286473.1;NM_001286470.1;NM_001102369.2;NM_001286472.1;NM_001102367.2;NM_001286471.1;NM_001102366.2	ENST00000256324.14;ENST00000298858.8;ENST00000412671.6;ENST00000428926.6;ENST00000517362.5;ENST00000517518.5;ENST00000517877.1;ENST00000518665.6;ENST00000518868.5;ENST00000518871.5;ENST00000519019.5;ENST00000519950.5;ENST00000520328.5;ENST00000521064.5;ENST00000521077.6;ENST00000521081.5;ENST00000521334.5;ENST00000522170.5;ENST00000522322.5;ENST00000522816.1;ENST00000522837.5;ENST00000523771.5;ENST00000523816.5;ENST00000523879.5;ENST00000523894.5;ENST00000524232.5;ENST00000525393.6
ENSG00000133958.13	UNC79	UNC79	57578	NM_020818.3;NA	ENST00000256339.8;ENST00000393151.6;ENST00000553484.5;ENST00000555664.5;ENST00000621021.1
ENSG00000133961.19	NUMB	NUMB	8650	NA;NM_001320114.1;NM_001005745.1;NM_001005743.1;NM_001005744.1;NM_003744.5	ENST00000355058.7;ENST00000356296.8;ENST00000359560.7;ENST00000535282.5;ENST00000544991.7;ENST00000554394.5;ENST00000554521.6;ENST00000554546.5;ENST00000554818.5;ENST00000555238.5;ENST00000555307.5;ENST00000555394.5;ENST00000555738.6;ENST00000555859.5;ENST00000555987.5;ENST00000556772.5;ENST00000557597.5;ENST00000559312.5;ENST00000560335.5
ENSG00000133962.7	CATSPERB	CATSPERB	79820	NM_024764.3;NA	ENST00000256343.7;ENST00000553329.5;ENST00000553676.1;ENST00000554560.5;ENST00000556661.5
ENSG00000133980.4	VRTN	VRTN	55237	NM_018228.2;NA	ENST00000256362.4;ENST00000557177.1
ENSG00000133983.14	COX16	COX16	51241	NM_001204090.1	ENST00000389912.6
ENSG00000133985.2	TTC9	TTC9	23508	NM_015351.1	ENST00000256367.2
ENSG00000133997.11	MED6	MED6	10001	NM_005466.3;NM_001284209.1;NM_001284210.1;NA;NM_001284211.1	ENST00000256379.9;ENST00000430055.6;ENST00000440435.2;ENST00000554963.5;ENST00000615788.4
ENSG00000134001.12	EIF2S1	EIF2S1	1965	NM_004094.4;NA	ENST00000256383.8;ENST00000466499.6;ENST00000555876.1;ENST00000557310.5
ENSG00000134007.3	ADAM20	ADAM20	8748	NM_003814.4	ENST00000256389.3
ENSG00000134013.15	LOXL2	LOXL2	4017	NM_002318.2;NA	ENST00000389131.7;ENST00000518083.5;ENST00000519243.1;ENST00000520349.1;ENST00000520871.1;ENST00000523833.2;ENST00000524144.5;ENST00000524168.1
ENSG00000134014.16	ELP3	ELP3	55140	NM_018091.5;NM_001284226.1;NA;NM_001284222.1;NM_001284220.1	ENST00000256398.12;ENST00000380353.8;ENST00000517975.1;ENST00000520270.5;ENST00000520288.5;ENST00000521015.5;ENST00000521099.1;ENST00000521570.5;ENST00000523357.5;ENST00000524103.5;ENST00000537665.2
ENSG00000134020.7	PEBP4	PEBP4	157310	NM_144962.2;NA	ENST00000256404.7;ENST00000522278.1
ENSG00000134028.14	ADAMDEC1	ADAMDEC1	27299	NM_014479.3;NM_001145271.1	ENST00000256412.8;ENST00000522298.1
ENSG00000134030.13	CTIF	CTIF	9811	NM_014772.2;NM_001142397.1;NA	ENST00000256413.7;ENST00000382998.8;ENST00000587752.5;ENST00000588345.1;ENST00000591387.5;ENST00000591412.5
ENSG00000134042.12	MRO	MRO	83876	NA;NM_001127175.1;NM_001127174.1;NM_001127176.1	ENST00000256425.6;ENST00000398439.7;ENST00000428869.6;ENST00000431965.6;ENST00000436348.6;ENST00000588444.5;ENST00000592966.5;ENST00000610511.4
